scenario,metric,observations,rest_median,graphql_median,median_difference_rest_minus_graphql,percent_difference_rest_minus_graphql,shapiro_p_value,normal_difference,test,p_value,effect_name,effect_size,holm_p_value,significant
full_profile,response_time_ms,100,198.24635,24.768250000000002,173.4781,87.50632735482898,6.7174382292488e-11,False,wilcoxon,3.8965598450959084e-18,rank_biserial,1.0,1.9482799225479544e-17,True
full_profile,response_size_bytes,100,5608.0,5647.0,-39.0,-0.6954350927246791,1.0,True,paired_t_test,0.0,cohens_d,0.0,0.0,True
nested_data,response_time_ms,100,197.00805000000003,23.3394,173.66865,88.15307293280655,2.196498148925675e-05,False,wilcoxon,3.8965598450959084e-18,rank_biserial,1.0,1.9482799225479544e-17,True
nested_data,response_size_bytes,100,5608.0,3105.0,2503.0,44.632667617689016,1.0,True,paired_t_test,0.0,cohens_d,0.0,0.0,True
post_titles,response_time_ms,100,17.232300000000002,17.14295,0.08935000000000315,0.5185030437028321,0.010522397890462788,False,wilcoxon,0.506948473287772,rank_biserial,0.07643564356435643,1.0,False
post_titles,response_size_bytes,100,1359.0,268.0,1091.0,80.27961736571008,1.0,True,paired_t_test,0.0,cohens_d,0.0,0.0,True
simple_user,response_time_ms,100,16.2738,16.598950000000002,-0.3251500000000007,-1.997996780100534,0.022471988117049625,False,wilcoxon,0.7465418609724369,rank_biserial,0.037227722772277226,1.0,False
simple_user,response_size_bytes,100,115.0,78.0,37.0,32.17391304347826,1.0,True,paired_t_test,0.0,cohens_d,0.0,0.0,True
user_list,response_time_ms,100,18.03765,17.238300000000002,0.7993499999999969,4.431563978677915,0.021897643772088866,False,wilcoxon,0.7335597164128502,rank_biserial,0.03920792079207921,1.0,False
user_list,response_size_bytes,100,5471.0,2531.0,2940.0,53.73789069639919,1.0,True,paired_t_test,0.0,cohens_d,0.0,0.0,True
